x,celltype
21:68:93:04,HC_ExNeu_CA1
21:68:94:01,FC_ExNeu_L23
21:69:05:04,HC_ExNeu_CA23
21:69:43:01,FC_ExNeu_L5
21:69:50:05,HC_ExNeu_CA1
21:69:94:01,FC_ExNeu_L23
21:70:33:05,BR_InNeu_CGE
21:70:62:02,FC_ExNeu_Claustrum
21:71:55:04,HC_ExNeu_DG
21:71:63:06,HC_ExNeu_DG
21:72:19:03,FC_ExNeu_L5
21:72:19:04,HC_ExNeu_CA23
21:72:30:05,HC_ExNeu_DG
21:72:68:02,FC_ExNeu_CT
21:72:85:02,FC_ExNeu_L23
21:73:08:01,FC_ExNeu_Claustrum
21:73:56:05,HC_ExNeu_DG
21:73:88:04,HC_ExNeu_CA23
21:74:53:05,HC_ExNeu_CA23
21:75:47:02,BR_InNeu_Pvalb
21:76:08:03,FC_ExNeu_L23
21:76:33:02,FC_ExNeu_Claustrum
21:76:44:05,HC_ExNeu_Subiculum
21:76:46:05,HC_ExNeu_CA1
21:76:53:02,FC_ExNeu_L23
21:77:32:05,BR_NonNeu_Astro_Myoc
21:77:36:05,HC_ExNeu_CA23
21:77:48:02,FC_ExNeu_Claustrum
21:77:50:03,FC_ExNeu_L23
21:77:59:05,HC_ExNeu_CA23
21:77:75:04,HC_ExNeu_CA23
21:77:84:02,FC_ExNeu_L23
21:78:36:02,FC_ExNeu_CT
21:78:83:01,FC_ExNeu_PT
21:79:02:06,HC_ExNeu_Subiculum
21:79:24:06,HC_ExNeu_CA1
21:79:46:01,FC_ExNeu_Claustrum
21:79:88:03,FC_ExNeu_L23
21:80:20:02,BR_NonNeu_OPC
21:80:33:05,HC_ExNeu_CA1
21:80:37:02,FC_ExNeu_L23
21:80:75:02,FC_ExNeu_L23
21:80:77:04,HC_ExNeu_CA23
21:81:05:04,HC_ExNeu_CA23
21:81:17:01,FC_ExNeu_L23
21:81:48:02,FC_ExNeu_L23
21:81:61:01,FC_ExNeu_CT
21:82:46:01,FC_ExNeu_L23
21:82:59:05,HC_ExNeu_CA1
21:82:75:04,HC_ExNeu_DG
21:82:88:01,FC_ExNeu_PT
21:83:49:03,FC_ExNeu_Claustrum
21:84:19:05,HC_ExNeu_CA23
21:84:23:04,BR_InNeu_Pvalb
21:84:32:01,FC_ExNeu_L4
21:84:78:01,FC_ExNeu_CT
21:85:33:02,FC_ExNeu_L5
21:85:84:02,FC_ExNeu_L23
21:86:10:01,FC_ExNeu_L5
21:86:79:03,FC_ExNeu_L23
21:86:90:03,FC_ExNeu_L23
21:87:12:01,FC_ExNeu_L4
21:88:06:02,FC_ExNeu_CT
21:88:30:02,FC_ExNeu_L23
21:89:19:03,FC_ExNeu_L23
21:89:21:02,FC_ExNeu_L23
21:90:17:03,FC_ExNeu_L23
21:90:28:01,FC_ExNeu_CT
21:90:31:02,FC_ExNeu_L5
21:90:88:03,FC_ExNeu_L23
21:91:16:02,FC_ExNeu_CT
21:91:38:01,FC_ExNeu_Claustrum
21:92:43:01,FC_ExNeu_CT
21:93:02:01,FC_ExNeu_L23
21:93:32:01,FC_ExNeu_L4
21:93:58:03,FC_ExNeu_L23
21:93:66:04,HC_ExNeu_DG
21:93:81:06,HC_ExNeu_CA23
21:94:22:04,HC_ExNeu_CA1
21:94:46:02,FC_ExNeu_CT
21:94:50:01,FC_ExNeu_L4
21:94:80:02,FC_ExNeu_L23
21:95:17:02,FC_ExNeu_L23
21:95:33:02,FC_ExNeu_L23
21:95:56:04,HC_ExNeu_DG
21:96:02:02,FC_ExNeu_L23
21:96:22:05,HC_ExNeu_DG
21:96:47:04,HC_ExNeu_Subiculum
21:96:79:04,HC_ExNeu_DG
22:02:17:01,FC_ExNeu_L5
22:03:05:04,HC_ExNeu_CA23
22:03:46:03,FC_ExNeu_L5
22:03:66:04,HC_ExNeu_Subiculum
22:03:86:01,FC_ExNeu_Claustrum
22:04:06:02,FC_ExNeu_L23
22:04:22:06,HC_ExNeu_CA23
22:04:53:03,FC_ExNeu_PT
22:04:68:03,FC_ExNeu_Claustrum
22:05:24:01,FC_ExNeu_L4
22:05:66:02,FC_ExNeu_Claustrum
22:06:05:05,HC_ExNeu_CA23
22:06:05:06,HC_ExNeu_DG
22:06:46:02,FC_ExNeu_L23
22:06:81:05,HC_ExNeu_CA1
22:07:38:01,FC_ExNeu_L23
22:08:02:05,HC_ExNeu_CA23
22:08:37:02,FC_ExNeu_L23
22:09:79:01,FC_ExNeu_L23
22:10:10:03,FC_ExNeu_L23
22:10:79:02,FC_ExNeu_L5
22:11:32:01,FC_ExNeu_L23
22:11:63:01,FC_ExNeu_L5
22:11:69:01,FC_ExNeu_L5
22:12:61:03,FC_ExNeu_L23
22:12:76:03,FC_ExNeu_L23
22:12:80:04,HC_ExNeu_CA23
22:12:81:02,FC_ExNeu_L5
22:13:70:02,FC_ExNeu_L23
22:13:84:04,HC_ExNeu_CA23
22:14:56:06,HC_ExNeu_CA23
22:15:07:04,HC_ExNeu_CA23
22:15:38:01,FC_ExNeu_L23
22:15:61:03,FC_ExNeu_L4
22:16:20:06,HC_ExNeu_Subiculum
22:16:45:05,BR_InNeu_Sst
22:16:46:02,FC_ExNeu_L23
22:16:53:02,FC_ExNeu_L23
22:17:31:04,HC_ExNeu_Subiculum
22:18:55:04,BR_InNeu_CGE
22:18:55:05,BR_InNeu_Pvalb
22:20:37:05,HC_ExNeu_Subiculum
22:20:79:06,HC_ExNeu_Subiculum
22:21:02:05,HC_ExNeu_CA23
22:21:06:04,HC_ExNeu_CA23
22:21:56:06,HC_ExNeu_CA1
22:22:19:04,HC_ExNeu_CA1
22:22:36:04,BR_InNeu_CGE
22:22:84:04,HC_ExNeu_CA23
22:22:88:05,HC_ExNeu_CA1
22:23:22:02,FC_ExNeu_PT
22:23:36:04,HC_ExNeu_CA1
22:23:43:01,FC_ExNeu_Claustrum
22:23:88:05,HC_ExNeu_CA23
22:23:88:06,HC_ExNeu_Subiculum
22:24:12:05,HC_ExNeu_CA1
22:25:81:02,FC_ExNeu_L23
22:26:05:06,HC_ExNeu_CA23
22:26:44:05,BR_InNeu_CGE
22:27:20:04,HC_ExNeu_CA23
22:27:92:01,FC_ExNeu_Claustrum
22:28:08:03,FC_ExNeu_L23
22:28:63:01,BR_InNeu_CGE
22:29:08:01,FC_ExNeu_Claustrum
22:29:45:03,FC_ExNeu_L5
22:30:68:02,FC_ExNeu_CT
22:30:76:02,FC_ExNeu_PT
22:31:04:03,FC_ExNeu_Claustrum
22:31:19:02,FC_ExNeu_CT
22:31:59:06,HC_ExNeu_CA1
22:31:66:06,HC_ExNeu_DG
22:32:07:04,HC_ExNeu_CA23
22:32:24:02,FC_ExNeu_NP
22:33:06:05,HC_ExNeu_DG
22:33:27:05,HC_ExNeu_CA1
22:33:61:03,FC_ExNeu_L5
22:34:37:03,BR_InNeu_Sst
22:35:05:02,FC_ExNeu_CT
22:35:17:01,FC_ExNeu_L23
22:35:22:04,HC_ExNeu_CA23
22:35:58:01,FC_ExNeu_PT
22:37:51:03,FC_ExNeu_PT
22:37:84:01,FC_ExNeu_Claustrum
22:38:12:01,FC_ExNeu_L4
22:38:25:02,BR_InNeu_Sst
22:38:28:01,FC_ExNeu_L5
22:38:32:04,HC_ExNeu_CA23
22:38:80:01,FC_ExNeu_L5
22:39:25:02,FC_ExNeu_PT
22:39:25:05,HC_ExNeu_CA1
22:39:55:03,FC_ExNeu_L23
22:40:27:01,FC_ExNeu_L4
22:40:50:05,HC_ExNeu_DG
22:40:75:03,FC_ExNeu_PT
22:41:31:01,FC_ExNeu_L23
22:41:44:03,FC_ExNeu_L5
22:41:58:01,FC_ExNeu_PT
22:42:66:03,FC_ExNeu_Claustrum
22:42:79:01,BR_NonNeu_OPC
22:43:37:05,BR_InNeu_Pvalb
22:43:59:02,FC_ExNeu_PT
22:44:05:01,FC_ExNeu_CT
22:44:63:01,FC_ExNeu_Claustrum
22:44:66:01,FC_ExNeu_CT
22:45:16:02,FC_ExNeu_CT
22:45:38:04,HC_ExNeu_CA23
22:45:55:03,FC_ExNeu_PT
22:46:06:01,FC_ExNeu_PT
22:46:49:02,FC_ExNeu_L23
22:47:31:02,FC_ExNeu_PT
22:47:32:04,HC_ExNeu_CA23
22:47:59:03,FC_ExNeu_L23
22:47:83:01,FC_ExNeu_Claustrum
22:48:37:01,FC_ExNeu_L23
22:48:94:02,FC_ExNeu_L4
22:49:25:01,FC_ExNeu_PT
22:49:46:06,HC_ExNeu_CA23
22:49:50:06,HC_ExNeu_CA23
22:49:51:04,HC_ExNeu_CA1
22:49:55:02,FC_ExNeu_L23
22:51:46:01,FC_ExNeu_L23
22:51:49:03,FC_ExNeu_PT
22:51:84:04,HC_ExNeu_CA23
22:51:92:05,HC_ExNeu_CA1
22:52:19:03,FC_ExNeu_PT
22:52:62:04,HC_ExNeu_CA23
22:52:81:06,BR_InNeu_CGE
22:52:94:03,BR_InNeu_Pvalb
22:53:86:05,HC_ExNeu_CA23
22:54:02:03,FC_ExNeu_L5
22:54:16:02,FC_ExNeu_CT
22:55:80:01,FC_ExNeu_L23
22:55:86:02,BR_InNeu_Sst
22:56:27:02,FC_ExNeu_Claustrum
22:56:28:01,FC_ExNeu_L23
22:56:53:02,FC_ExNeu_NP
22:56:61:01,FC_ExNeu_L23
22:56:83:05,BR_InNeu_CGE
22:57:85:05,HC_ExNeu_Subiculum
22:57:93:02,FC_ExNeu_CT
22:58:15:05,HC_ExNeu_Subiculum
22:58:90:03,BR_InNeu_Sst
22:59:37:02,FC_ExNeu_Claustrum
22:59:63:05,BR_InNeu_CGE
22:59:65:02,FC_ExNeu_L5
22:59:68:04,HC_ExNeu_Subiculum
22:60:17:02,FC_ExNeu_L5
22:60:68:02,BR_InNeu_Pvalb
22:61:27:04,HC_ExNeu_DG
22:61:30:01,FC_ExNeu_L5
22:61:36:05,HC_ExNeu_CA23
22:62:81:02,FC_ExNeu_PT
22:63:55:01,FC_ExNeu_CT
22:64:59:02,FC_ExNeu_L23
22:65:46:05,HC_ExNeu_CA23
22:65:65:06,HC_ExNeu_CA23
22:65:80:04,HC_ExNeu_CA23
22:66:49:03,FC_ExNeu_CT
22:67:32:01,FC_ExNeu_L5
22:68:45:04,HC_ExNeu_DG
22:68:57:01,FC_ExNeu_PT
22:68:93:05,HC_ExNeu_CA23
22:69:19:03,FC_ExNeu_L23
22:69:59:02,FC_ExNeu_L23
22:69:80:01,FC_ExNeu_L5
22:70:68:04,HC_ExNeu_CA1
22:71:68:06,HC_ExNeu_CA1
22:72:57:01,FC_ExNeu_PT
22:72:70:03,FC_ExNeu_L5
22:73:28:03,FC_ExNeu_L23
22:73:38:05,HC_ExNeu_DG
22:73:58:02,FC_ExNeu_L5
22:73:59:04,BR_InNeu_CGE
22:73:63:01,FC_ExNeu_L5
22:73:93:04,HC_ExNeu_Subiculum
22:75:33:01,FC_ExNeu_L4
22:75:61:03,FC_ExNeu_L5
22:75:84:01,FC_ExNeu_L23
22:77:31:03,FC_ExNeu_L23
22:77:37:03,FC_ExNeu_Claustrum
22:77:58:02,BR_InNeu_Sst
22:78:26:04,HC_ExNeu_CA23
22:78:37:05,HC_ExNeu_CA23
22:78:81:02,FC_ExNeu_CT
22:79:24:06,HC_ExNeu_CA23
22:79:59:02,FC_ExNeu_L4
22:79:62:02,FC_ExNeu_L23
22:79:68:03,FC_ExNeu_L23
22:81:34:02,FC_ExNeu_L5
22:82:22:01,FC_ExNeu_L23
22:82:78:01,FC_ExNeu_L5
22:83:25:06,BR_InNeu_CGE
22:83:30:03,FC_ExNeu_PT
22:83:43:02,FC_ExNeu_CT
22:83:46:02,FC_ExNeu_PT
22:83:55:04,HC_ExNeu_Subiculum
22:83:81:03,FC_ExNeu_NP
22:84:34:05,BR_NonNeu_Microglia
22:84:56:04,HC_ExNeu_DG
22:85:08:06,HC_ExNeu_Subiculum
22:85:88:05,HC_ExNeu_Subiculum
22:86:63:05,HC_ExNeu_CA23
22:87:30:05,HC_ExNeu_Subiculum
22:87:38:02,FC_ExNeu_PT
22:87:45:04,HC_ExNeu_CA23
22:88:58:01,FC_ExNeu_L5
22:89:07:02,FC_ExNeu_PT
22:89:90:03,FC_ExNeu_L23
22:90:26:04,HC_ExNeu_CA23
22:90:32:02,FC_ExNeu_L5
22:90:84:06,HC_ExNeu_CA23
22:91:08:01,FC_ExNeu_PT
22:91:70:02,FC_ExNeu_L23
22:93:15:03,FC_ExNeu_L23
22:93:74:02,FC_ExNeu_L5
22:94:17:03,FC_ExNeu_L5
22:94:48:01,BR_InNeu_CGE
22:94:53:03,BR_InNeu_Sst
22:94:62:06,HC_ExNeu_CA1
22:95:50:06,HC_ExNeu_CA1
22:95:53:04,BR_InNeu_CGE
22:95:77:01,FC_ExNeu_L23
22:96:79:02,FC_ExNeu_L23
23:02:19:01,FC_ExNeu_CT
23:02:27:01,FC_ExNeu_L4
